CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
82989;AGUA BRANCA;AL;4.8;-;4.2;4.1;3.9;3.8;3.9;4.3;5;5.2;5;4.8;-
83249;ALAGOINHAS;BA;2.2;2;1.9;1.6;1.5;1.5;1.6;1.7;2;2.2;2.3;2.2;1.9
82970;ALTO PARNAIBA;MA;1.1;1.1;1;1;1.2;1.4;1.5;1.5;1.5;1.4;1.2;1.1;1.3
83096;ARACAJU;SE;2.8;2.8;2.6;2.3;2.2;2.2;2.2;2.4;2.7;3;3.1;3.1;2.6
83442;ARACUAI;MG;0.9;0.7;0.7;0.6;0.6;0.6;0.7;0.9;1;1;0.8;0.7;0.8
83368;ARAGARCAS;GO;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.6;0.6;0.6;0.5;0.5
82659;ARAGUAINA;TO;1;1;1;1;1;1;1;1;1;0.9;1;0.9;1
82890;ARCOVERDE;PE;-;3.5;-;3.2;3.2;3.2;3.4;3.6;3.8;4;4;3.9;-
83384;ARINOS;MG;0.8;0.9;0.8;0.8;0.8;0.8;1.1;1.2;1.2;1.1;0.9;0.8;0.9
83049;AVELAR (P.DO ALFERES);RJ;1.4;1.4;1.4;1.4;1.4;1.3;1.4;1.5;1.6;1.6;1.5;1.5;1.5
83980;BAGE;RS;3.1;2.9;2.8;2.6;2.4;2.6;2.9;3;3.4;3.4;3.4;3.3;3
82768;BALSAS;MA;0.9;0.9;0.9;0.9;0.9;1;1.1;1.1;1.1;0.9;0.9;0.8;1
83582;BAMBUI;MG;0.9;0.9;0.9;0.8;0.8;0.8;0.8;0.9;1.1;1.2;1.1;1;0.9
83689;BARBACENA;MG;1.3;1.3;1.3;1.2;1.3;1.2;1.4;1.5;1.7;1.6;1.5;1.5;1.4
82784;BARBALHA;CE;1.1;1;1;1.1;1.4;1.9;-;-;2.1;1.7;1.5;1.3;-
82113;BARCELOS;AM;1.3;1.2;1.1;1;0.9;1;1.1;1.2;1.2;1.1;1.1;1.2;1.1
82571;BARRA DO CORDA;MA;1.3;1.3;1.2;1.2;1.4;1.7;1.8;1.9;1.8;1.6;1.6;1.5;1.5
83236;BARREIRAS;BA;1.3;1.3;1.2;1.2;1.2;1.4;1.6;1.7;2.1;1.9;1.5;1.4;1.5
82191;BELEM;PA;1.2;1.2;1.1;1.1;1.2;1.5;1.6;1.7;1.9;1.9;1.8;1.5;1.5
83587;BELO HORIZONTE;MG;1.5;1.6;1.5;1.4;1.4;1.4;1.5;1.7;1.7;1.7;1.6;1.5;1.5
82246;BELTERRA;PA;1;1;0.9;0.9;0.8;0.9;0.9;1;1;1.1;1.1;1.1;1
82024;BOA VISTA;RR;2.4;2.4;2.2;1.8;1.3;1.1;1;1.2;1.4;1.7;1.8;2.1;1.7
83919;BOM JESUS;RS;2.3;2;2;1.9;2;2;2.1;2.2;2.4;2.3;2.3;2.2;2.1
83288;BOM JESUS DA LAPA;BA;1;1.1;1.1;1.1;1.2;1.3;1.3;1.4;1.3;1.3;1.2;1.1;1.2
83377;BRASILIA;DF;2.2;2;1.9;1.9;1.9;2.2;2.6;2.8;2.6;2.2;2;2;2.2
83589;C. DO MATO DENTRO;MG;1.7;1.7;1.5;1.4;1.3;1.2;1.4;1.7;1.9;2;1.8;1.7;1.6
82263;CAMETA;PA;2.5;2.4;2.4;2.3;2.3;2.4;2.5;2.6;3;3.2;3;2.9;2.6
83783;CAMPO MOURAO;PR;2.3;2.3;2.5;2.5;2.3;2.2;2.4;2.5;2.8;2.8;2.8;2.5;2.5
83698;CAMPOS;RJ;2;1.6;1.4;1.3;1.2;1.2;1.3;1.7;2;1.9;1.7;1.6;1.6
83887;CAMPOS NOVOS;SC;2.9;2.7;2.8;2.7;2.6;2.6;3;3.2;3.5;3.4;3.5;3;3
83398;CANAVIEIRAS;BA;2;1.7;1.5;1.4;1.4;1.3;1.3;1.6;2;2.3;2.1;1.9;1.7
83639;CAPARAO;MG;1;1;0.8;0.8;0.7;0.7;0.9;0.9;1.1;1.1;1.1;0.9;0.9
83514;CAPINOPOLIS;MG;1.3;1.1;1.1;1.2;1.4;1.5;1.7;1.9;2.1;1.8;1.6;1.5;1.5
82042;CARACARAI;RR;0.9;0.9;0.9;0.6;0.4;0.4;0.4;0.5;0.6;0.6;0.7;-;-
83592;CARATINGA;MG;1.7;1.7;1.4;1.2;1.2;1.1;1.3;1.6;2;2;1.8;1.7;1.6
83408;CARINHANHA;BA;2.1;2;1.9;2;2;2.1;2.4;2.7;2.9;-;2.3;2.1;-
82765;CAROLINA;MA;1;1;0.9;0.8;0.9;1.2;1.5;1.7;1.6;1.2;1.1;0.9;1.2
83813;CASTRO;PR;0.9;0.8;0.8;0.7;0.7;0.6;0.7;0.8;1;1;1.1;-;-
83526;CATALAO;GO;1.6;1.5;1.5;1.4;1.4;1.5;1.7;1.8;2;1.9;1.7;1.7;1.6
83676;CATANDUVA;SP;2.3;2.1;2.2;2.1;2.1;2.1;2.3;2.4;2.6;2.4;2.4;2.3;2.3
83942;CAXIAS DO SUL;RS;1.7;-;1.6;1.6;1.6;1.8;1.8;1.9;2;1.9;1.9;1.8;-
82596;CEARA MIRIM;RN;-;3.2;3;2.9;3.1;3.2;3.5;3.8;3.9;4.1;3.9;3.8;-
82382;CHAPADINHA;MA;1.9;1.6;1.5;1.4;1.4;1.5;1.6;2;2.2;2.4;2.2;2.3;1.8
83192;CIPO;BA;3.2;3;2.9;2.9;2.7;2.8;2.8;3;3.3;3.4;3.3;3.1;3
82326;CODAJAS;AM;1.7;1.7;1.8;1.7;1.8;1.8;1.6;1.7;1.8;1.8;1.9;1.9;1.8
82861;CONCEICAO DO ARAGUAIA;PA;2.4;2.4;2.4;2.3;2.3;2.3;2.4;2.4;2.4;2.5;2.4;2.4;2.4
83912;CRUZ ALTA;RS;1.7;1.8;1.8;1.8;1.7;1.8;1.8;1.9;2.1;2.1;2.1;1.9;1.9
82693;CRUZETA;RN;3.8;3.5;3;2.8;3.1;3.6;4.2;4.7;4.8;4.6;4.3;4.2;3.9
83842;CURITIBA;PR;2.3;2.2;2;2;1.8;1.9;1.9;2;2.2;2.3;2.5;2.4;2.1
83536;CURVELO;MG;1.6;1.8;1.6;1.5;1.5;1.5;1.6;2;2.2;2.1;1.8;1.7;1.7
83538;DIAMANTINA;MG;1.5;-;1.2;1.1;1.2;1.3;-;1.6;1.6;1.5;1.5;1.4;-
83635;DIVINOPOLIS;MG;-;2.2;2.1;2.1;-;2;2.1;2.4;2.5;2.4;2.3;2.3;-
82610;EIRUNEPE;AM;0.2;0.1;0.1;0.2;0.2;0.2;0.3;0.3;0.2;0.1;0.1;0.1;0.2
83897;FLORIANOPOLIS;SC;3;2.8;2.8;2.5;2.1;2.2;2.3;2.8;3.1;3.3;3.4;3.3;2.8
82212;FONTE BOA;AM;0.9;0.9;0.7;0.8;0.7;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.8
83379;FORMOSA;GO;1.1;1;0.9;1;1;1;1.3;1.4;1.4;1.2;1;0.9;1.1
83334;FORMOSO;MG;1.5;1.4;1.4;1.5;1.6;1.7;1.8;1.8;-;1.6;1.4;1.4;-
82397;FORTALEZA;CE;2.7;2.4;2;1.9;2.2;2.6;2.8;3.5;3.8;3.8;3.6;3.4;2.9
83630;FRANCA;SP;2;1.9;1.9;1.8;1.8;1.9;2.2;2.3;2.4;2.2;2.1;2;2
83423;GOIANIA;GO;1;0.9;0.8;0.8;0.8;0.8;0.8;1;1.1;1;1;1;0.9
83374;GOIAS;GO;2.3;2.3;2.4;2.3;2.4;2.5;2.5;2.6;2.4;2.3;2.4;2.4;2.4
83872;INDAIAL;SC;1.4;1.4;1.3;1.3;1.3;1.3;1.3;-;1.3;1.3;1.4;1.5;-
83522;IPAMERI;GO;0.9;0.9;0.8;0.8;0.8;0.8;1;1.2;1.2;1.1;1;0.9;1
83881;IRAI;RS;1.5;1.3;-;1.1;1;1;1.1;1.3;1.5;1.5;1.5;1.4;-
83836;IRATI;PR;1.8;1.8;1.7;1.6;1.4;1.4;1.5;1.7;2;2;2.1;1.9;1.7
83195;ITABAIANINHA;SE;3;2.5;2.5;2.3;2.1;2.1;2.1;2.2;2.5;2.8;2.9;2.9;2.5
82336;ITACOATIARA;AM;1.1;1.1;1.2;1.1;1;0.9;1;1.1;1.2;1.2;1.2;1.1;1.1
82445;ITAITUBA;PA;0.7;0.7;0.6;0.6;0.5;0.5;0.5;0.7;0.9;0.8;0.7;0.7;0.7
83488;ITAMARANDIBA;MG;1.4;1.4;1.5;1.5;1.5;1.5;1.6;1.8;1.8;1.7;1.5;1.4;1.6
83386;JANUARIA;MG;1.8;1.8;1.6;1.7;1.7;1.8;2.2;2.5;2.6;2.4;2;1.8;2
83464;JATAI;GO;1.2;1.1;0.9;0.8;0.7;0.8;1;1.1;1.3;1.1;1.1;1.2;1
82798;JOAO PESSOA;PB;2.8;2.8;2.7;2.6;2.5;2.6;2.8;3.2;3.3;3.2;3;2.9;2.9
83692;JUIZ DE FORA;MG;2.8;2.7;2.6;2.5;2.5;2.5;2.7;2.9;3;2.9;2.9;2.8;2.7
83452;JURAMENTO;MG;1.4;1.4;1.2;1.2;1.3;1.4;1.6;1.8;1.9;1.7;1.4;1.3;1.5
82723;LABREA;AM;1.4;1.4;1.5;1.4;1.4;1.3;-;1.4;1.5;1.6;1.4;1.4;-
83891;LAGES;SC;1.7;1.5;1.5;1.4;1.3;1.3;1.5;1.5;1.8;1.8;1.8;1.7;1.6
83687;LAVRAS;MG;2.1;2;2.1;2.1;2;1.9;2.1;2.4;2.6;2.5;2.5;2.2;2.2
83242;LENCOIS;BA;1.6;1.5;1.4;1.4;1.4;1.6;1.6;1.7;1.8;1.7;1.5;1.5;1.6
83766;LONDRINA;PR;0.5;0.5;-;0.5;0.5;0.4;0.5;0.7;-;0.8;0.7;0.6;-
82296;LUZILANDIA(LAG.DO PIAUI);PI;-;3;-;2.5;2.4;2.4;2.7;3.3;4;4.4;4.5;4.3;-
82098;MACAPA;AP;1.7;1.5;1.4;1.3;1.1;1.1;1.1;1.9;2.7;2.9;2.6;2.2;1.8
83683;MACHADO;MG;0.7;0.7;0.6;0.6;0.6;0.5;0.6;0.7;0.8;0.8;0.8;0.8;0.7
82331;MANAUS;AM;0.9;0.9;0.9;0.8;0.8;0.9;0.9;1;1;1;1;0.9;0.9
82533;MANICORE;AM;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.6;0.6;0.6
83767;MARINGA;PR;1;1;1;1.1;1.1;1.1;1.2;1.4;1.3;1.2;1.2;1;1.1
83214;MATUPA;MT;-;-;0.6;0.6;0.7;0.9;0.9;0.9;0.8;0.8;0.7;0.7;-
82181;MONTE ALEGRE;PA;3.1;2.9;2.9;2.7;2.6;2.8;2.9;3.5;3.9;4;3.8;3.5;3.2
82588;MORADA NOVA;CE;2.9;2.6;-;2.1;2.2;2.5;-;3.1;3.2;3.3;3.4;3.3;-
83184;MORRO DO CHAPEU;BA;3;3.1;3;3.2;3.3;3.5;3.6;3.6;3.6;3.4;3.1;2.9;3.3
82598;NATAL;RN;4.2;4;3.6;3.5;3.6;3.6;4.2;4.7;5.1;5;4.6;4.4;4.2
83513;NHUMIRIM (NHECOLANDIA);MS;1.9;1.8;1.5;1.6;1.7;1.8;2;2.3;2.4;2.3;2.2;2;2
82178;OBIDOS;PA;0.8;0.8;0.8;0.9;1;1.2;1.3;1.4;1.6;1.6;1.3;1;1.1
82753;OURICURI;PE;2.4;2.5;2.3;2.4;2.8;3.3;3.6;3.7;3.6;3.2;2.9;2.7;3
83033;PALMAS;TO;1.2;1;1;1;1.2;1.7;2;2.2;1.9;1.4;1.2;1.1;1.4
82992;PALMEIRA DOS INDIOS;AL;3.5;3.4;3.1;2.5;2.1;1.9;1.9;2.2;2.9;3.5;3.8;3.7;2.9
83479;PARACATU;MG;1.9;2.1;2.2;2;1.9;1.9;2.2;2.5;2.7;2.6;2.5;2.5;2.3
83565;PARANAIBA;MS;1;1;0.9;0.8;0.7;0.7;0.8;1.1;1.2;1.1;1.1;1.1;1
83914;PASSO FUNDO;RS;3.5;3.3;3.3;3.3;3.3;3.6;3.7;3.9;4;3.9;3.8;3.6;3.6
83531;PATOS DE MINAS;MG;1.4;1.4;1.3;1.3;1.4;1.5;1.8;2.1;2.1;1.8;1.6;1.4;1.6
83393;PEDRA AZUL;MG;1.2;1.3;1.2;1.3;1.3;1.3;1.4;1.6;1.7;1.6;1.3;1.1;1.4
82863;PEDRO AFONSO;TO;1.1;1.1;1;1;1;1.5;1.6;1.7;1.6;1.5;1.4;1.2;1.3
83228;PEIXE;TO;1.1;1.1;1.1;1.2;1.5;1.7;1.7;2.1;1.8;1.5;1.3;1.1;1.4
82983;PETROLINA;PE;2.7;2.7;2.6;2.8;3.1;3.4;3.5;3.6;3.5;3.3;3;2.8;3.1
83483;PIRAPORA;MG;1.6;1.6;-;1.4;1.3;1.4;1.6;2;2.1;2;1.7;1.5;-
83376;PIRENOPOLIS;GO;1.9;1.9;1.8;2;2.2;2.3;2.6;2.8;2.9;2.4;2;1.9;2.2
82480;PIRIPIRI;PI;1.8;1.7;1.5;1.4;1.5;1.7;2;2.3;2.5;2.6;2.4;2.4;2
83570;POMPEU;MG;1;0.9;0.8;0.8;0.9;0.9;1;1.2;1.2;1.1;1;1;1
83967;PORTO ALEGRE;RS;2.2;2.1;1.8;1.7;1.6;1.5;1.7;1.8;2.2;2.3;2.4;2.3;2
82184;PORTO DE MOZ;PA;0.7;0.7;0.7;0.6;0.7;0.6;0.6;0.7;0.8;0.8;0.7;0.7;0.7
82996;PORTO DE PEDRAS;AL;-;4.2;3.9;3.4;3.5;4.3;4.7;4.7;5.2;5.4;5.6;-;-
83064;PORTO NACIONAL;TO;0.9;0.9;0.8;0.7;0.7;0.8;0.9;0.9;1.1;1;0.9;1;0.9
83332;POSSE;GO;0.7;0.8;0.8;1;1.1;1.4;1.6;1.7;1.5;0.9;0.7;0.7;1.1
82900;RECIFE (CURADO);PE;2.5;2.5;2.2;2;1.9;2;2.2;2.5;2.7;2.8;2.8;2.7;2.4
82915;RIO BRANCO;AC;1;1.1;1.1;1;1;0.9;1;1;1.1;1.2;1.3;1.2;1.1
83441;SALINAS;MG;1.4;1.5;1.4;1.4;1.4;1.5;1.7;2;2.3;2.2;1.7;1.5;1.7
83229;SALVADOR (ONDINA);BA;1.4;1.4;1.4;1.4;1.6;1.6;1.7;1.7;1.7;1.7;1.7;1.5;1.6
83936;SANTA MARIA;RS;2.1;1.9;1.8;1.7;1.6;1.7;1.9;2.1;2.2;2.3;2.3;2.2;2
83726;SAO CARLOS;SP;2;2;2;2;1.9;1.9;2;2.2;2.5;2.4;2.4;2.3;2.1
82106;SAO GABRIEL DA CACHOEIRA(UAUPES);AM;1.2;1.3;1.3;1.2;1.2;1.1;1.2;1.2;1.3;1.3;1.3;1.2;1.2
83736;SAO LOURENCO;MG;1.2;1.1;1;0.9;0.9;0.7;0.8;1;1.2;1.3;1.3;1.2;1.1
83907;SAO LUIZ GONZAGA;RS;2.6;2.5;2.4;2.5;2.5;2.7;2.8;3;3.1;3;2.8;2.7;2.7
83781;SAO PAULO(MIR.de SANTANA);SP;2.4;2.4;2.4;2.5;2.4;2.3;2.2;2.3;2.7;2.8;2.9;2.8;2.5
83669;SAO SIMAO;SP;0.4;0.4;0.5;0.5;0.5;0.6;0.7;0.9;0.9;0.8;0.7;0.6;0.6
82141;SOURE;PA;2.2;2;1.8;1.6;1.8;2;2.2;2.7;3.3;3.3;3.1;2.9;2.4
82797;SURUBIM;PE;3.5;3.9;3.7;3.6;3.4;3.4;3.5;3.7;4;4.3;4.2;4.1;3.8
83235;TAGUATINGA;TO;0.3;0.3;0.3;0.4;0.6;0.9;1.1;1.3;1.2;0.7;0.5;0.4;0.7
82807;TARAUACA;AC;0.5;0.5;0.5;0.5;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
82317;TEFE;AM;1.3;1.3;1.1;1;1.1;1.1;1.3;1.2;1.2;1.2;1.2;1.2;1.2
83492;TEOFILO OTONI;MG;1.2;1.1;1;-;-;0.8;0.9;1.2;1.4;1.4;1.2;1.1;-
83948;TORRES;RS;2.2;2.1;2;1.8;1.7;1.5;1.6;2;2.5;2.7;2.8;2.6;2.1
82361;TUCURUI;PA;1.1;1.1;1.1;1;1;1.1;-;1.4;1.4;1.4;1.2;1.1;-
82198;TURIACU;MA;3.1;2.7;2.4;2.2;2.4;2.7;2.9;3.5;4;4;3.9;3.8;3.1
83577;UBERABA;MG;1.6;1.7;1.6;1.6;1.6;1.8;2.1;2.4;2.5;2.2;2;1.7;1.9
83428;UNAI;MG;1.5;1.3;1.2;1.2;1.2;1.2;1.3;1.5;1.6;1.6;1.4;1.1;1.3
83927;URUGUAIANA;RS;2.1;1.9;1.9;1.9;1.9;2;2.2;2.4;2.7;2.5;2.3;2.2;2.2